DATE,PIR_SSS,PIR_DYN,PIR_PREC,PIR_SST,PIR_WSPD,PIR_WDIR,PIR_WDIRCR,INM_PREC_TOTAL,INM_TEMP_BSE,INM_UMID_AR,INM_VENT_DIR,INM_VENT_VEL,INM_VENT_DROS
2018-01-01,37.208,98.63,0.0,26.61,3.4,199.1,WSW,0.0,25.7,73.0,359.0,2.7,SW
2018-01-02,37.215,99.7,0.0,26.65,3.4,190.2,S,0.0,26.7,73.0,354.0,1.4,ENE
2018-01-03,37.209,100.37,-0.04,26.61,4.2,206.2,WSW,0.0,24.9,66.0,126.0,2.0,ENE
2018-01-04,37.201,99.7,-0.02,26.68,3.7,196.2,WSW,0.0,26.8,54.0,294.0,1.7,SSW
2018-01-05,37.198,99.59,-0.02,26.74,3.6,229.3,W,0.0,26.6,63.0,337.0,2.9,SW
2018-01-06,37.199,99.57,-0.03,26.77,4.0,266.5,WNW,0.0,28.4,57.0,11.0,1.9,SW
2018-01-07,37.205,99.78,0.02,26.8,3.2,264.1,WNW,0.0,24.8,61.0,158.0,4.1,WSW
2018-01-08,37.199,99.87,0.0,26.8,4.0,276.6,WNW,0.0,23.0,71.0,162.0,1.8,S
2018-01-09,37.208,99.74,-0.02,26.83,4.9,295.3,NW,0.0,21.7,90.0,194.0,1.5,S
2018-01-10,37.212,99.75,0.17,26.94,3.8,294.5,NW,3.8,22.1,92.0,6.0,0.9,SW
2018-01-11,37.202,99.78,-0.03,26.97,4.0,302.9,NW,0.2,22.6,92.0,209.0,0.6,S
2018-01-12,37.207,99.72,-0.03,27.17,3.0,254.8,NNW,0.0,25.6,75.0,113.0,1.0,SW
2018-01-13,37.218,99.57,-0.03,27.27,3.5,233.7,W,0.0,24.8,81.0,143.0,1.5,SE
2018-01-14,37.223,99.34,0.15,27.15,3.1,239.4,NNW,0.0,29.1,61.0,308.0,2.0,SSE
2018-01-15,37.235,99.64,-0.03,27.16,4.0,241.7,NNW,0.0,27.7,66.0,2.0,2.4,ENE
2018-01-16,37.256,100.04,-0.04,27.29,3.6,257.6,NNW,0.0,26.6,80.0,172.0,0.0,ENE
2018-01-17,37.272,99.96,-0.06,27.37,4.1,259.7,WNW,0.0,25.3,84.0,227.0,0.2,SSE
2018-01-18,37.289,100.37,-0.03,27.49,4.0,274.7,WNW,0.0,28.4,71.0,4.0,2.3,ENE
2018-01-19,37.284,100.48,-0.02,27.87,3.1,267.0,WNW,0.0,25.9,71.0,151.0,3.6,NNE
2018-01-20,37.291,100.35,-0.03,27.77,3.3,253.9,NNW,0.0,25.2,66.0,161.0,1.2,ENE
2018-01-21,37.288,100.7,0.06,27.68,3.0,264.5,WNW,0.0,25.8,72.0,113.0,0.7,ESE
2018-01-22,37.278,101.49,-0.05,27.61,4.1,249.5,NNW,0.0,24.6,83.0,2.0,1.8,ENE
2018-01-23,37.251,102.13,0.4,27.52,4.7,268.1,WNW,0.0,28.2,65.0,19.0,1.2,ESE
2018-01-24,37.245,101.92,-0.01,27.5,4.7,270.3,WNW,0.0,27.4,68.0,149.0,1.1,ESE
2018-01-25,37.259,102.59,-0.01,27.55,4.2,256.0,NNW,0.0,25.4,75.0,150.0,1.1,ENE
2018-01-26,37.266,102.91,0.0,27.59,3.8,241.2,NNW,0.0,21.4,86.0,169.0,4.0,SE
2018-01-27,37.27,103.02,-0.01,27.62,3.7,221.9,W,0.0,23.1,76.0,270.0,1.1,SW
2018-01-28,37.279,103.11,-0.01,27.67,3.1,203.2,WSW,0.0,24.9,73.0,336.0,1.6,WSW
2018-01-29,37.286,103.58,-0.01,27.57,3.2,193.9,WSW,0.0,25.8,81.0,146.0,1.1,W
2018-01-30,37.286,103.99,0.0,27.43,3.8,193.9,WSW,0.0,25.7,52.0,118.0,0.5,SW
2018-01-31,37.276,103.56,-0.01,27.29,3.9,184.8,S,0.0,23.6,81.0,192.0,2.1,SSW
2018-02-01,37.278,103.73,-0.01,27.25,3.8,192.7,WSW,0.0,25.7,72.0,163.0,1.0,SW
2018-02-02,37.284,104.13,-0.01,27.24,3.9,178.8,S,0.0,25.7,62.0,174.0,0.9,ENE
2018-02-03,37.294,104.51,0.01,27.27,2.6,165.8,SW,0.0,24.7,63.0,107.0,1.1,ENE
2018-02-04,37.298,104.23,-0.01,27.25,3.5,217.5,W,0.0,24.1,65.0,171.0,1.6,SE
2018-02-05,37.298,103.34,0.03,27.26,4.0,250.4,NNW,0.0,24.6,65.0,167.0,1.2,ENE
2018-02-06,37.302,103.55,0.0,27.26,3.9,230.2,W,0.0,24.7,65.0,136.0,1.2,SW
2018-02-07,37.306,103.46,-0.01,27.26,3.4,197.5,WSW,0.0,25.7,64.0,145.0,1.3,SW
2018-02-08,37.309,103.41,-0.01,27.31,3.1,212.2,WSW,0.0,26.9,68.0,327.0,2.1,SSW
2018-02-09,37.313,103.73,0.03,27.34,3.4,246.3,NNW,0.0,28.1,67.0,352.0,2.0,SW
2018-02-10,37.319,104.05,-0.01,27.38,3.6,275.7,WNW,0.0,27.5,71.0,353.0,2.1,W
2018-02-11,37.321,104.21,0.06,27.45,3.8,289.1,NW,0.0,25.4,84.0,349.0,1.6,SW
2018-02-12,37.33,104.32,0.0,27.45,4.1,266.7,WNW,0.0,24.3,80.0,174.0,1.7,SSW
2018-02-13,37.346,104.46,-0.01,27.52,3.4,269.7,WNW,0.0,24.1,59.0,164.0,3.1,SSE
2018-02-14,37.384,104.69,-0.01,27.52,4.2,289.3,NW,0.0,23.3,63.0,151.0,1.2,SW
