YYYYMMDD;HHMM;SSS;ID;Q;S
20180101;1200;37.208;24;2;5
20180102;1200;37.215;24;2;5
20180103;1200;37.209;24;2;5
20180104;1200;37.201;24;2;5
20180105;1200;37.198;24;2;5
20180106;1200;37.199;24;2;5
20180107;1200;37.205;24;2;5
20180108;1200;37.199;24;2;5
20180109;1200;37.208;24;2;5
20180110;1200;37.212;24;2;5
20180111;1200;37.202;24;2;5
20180112;1200;37.207;24;2;5
20180113;1200;37.218;24;2;5
20180114;1200;37.223;24;2;5
20180115;1200;37.235;24;2;5
20180116;1200;37.256;24;2;5
20180117;1200;37.272;24;2;5
20180118;1200;37.289;24;2;5
20180119;1200;37.284;24;2;5
20180120;1200;37.291;24;2;5
20180121;1200;37.288;24;2;5
20180122;1200;37.278;24;2;5
20180123;1200;37.251;24;2;5
20180124;1200;37.245;24;2;5
20180125;1200;37.259;24;2;5
20180126;1200;37.266;24;2;5
20180127;1200;37.270;24;2;5
20180128;1200;37.279;24;2;5
20180129;1200;37.286;24;2;5
20180130;1200;37.286;24;2;5
20180131;1200;37.276;24;2;5
20180201;1200;37.278;24;2;5
20180202;1200;37.284;24;2;5
20180203;1200;37.294;24;2;5
20180204;1200;37.298;24;2;5
20180205;1200;37.298;24;2;5
20180206;1200;37.302;24;2;5
20180207;1200;37.306;24;2;5
20180208;1200;37.309;24;2;5
20180209;1200;37.313;24;2;5
20180210;1200;37.319;24;2;5
20180211;1200;37.321;24;2;5
20180212;1200;37.330;24;2;5
20180213;1200;37.346;24;2;5
20180214;1200;37.384;24;2;5
20180215;1200;37.404;24;2;5
20180216;1200;37.411;24;2;5
20180217;1200;37.417;24;2;5
20180218;1200;37.409;24;2;5
20180219;1200;37.401;24;2;5
20180220;1200;37.394;24;2;5
20180221;1200;37.387;24;2;5
20180222;1200;37.378;24;2;5
20180223;1200;37.387;24;2;5
20180224;1200;37.382;24;2;5
20180225;1200;37.391;24;2;5
20180226;1200;37.403;24;2;5
20180227;1200;37.423;24;2;5
20180228;1200;37.426;24;2;5
20180301;1200;37.428;24;2;5
20180302;1200;37.433;24;2;5
20180303;1200;37.430;24;2;5
20180304;1200;37.434;24;2;5
20180305;1200;37.436;24;2;5
20180306;1200;37.440;24;2;5
20180307;1200;37.446;24;2;5
20180308;1200;37.362;24;2;5
20180309;1200;37.327;24;2;5
20180310;1200;37.362;24;2;5
20180311;1200;37.394;24;2;5
20180312;1200;37.398;24;2;5
20180313;1200;36.997;24;2;5
20180314;1200;37.008;24;2;5
20180315;1200;37.050;24;2;5
20180316;1200;37.206;24;2;5
20180317;1200;37.234;24;2;5
20180318;1200;37.232;24;2;5
20180319;1200;37.262;24;2;5
20180320;1200;37.297;24;2;5
20180321;1200;37.325;24;2;5
20180322;1200;37.350;24;2;5
20180323;1200;37.381;24;2;5
20180324;1200;37.420;24;2;5
20180325;1200;37.444;24;2;5
20180326;1200;37.466;24;2;5
20180327;1200;37.477;24;2;5
20180328;1200;37.465;24;2;5
20180329;1200;37.452;24;2;5
20180330;1200;37.456;24;2;5
20180331;1200;37.457;24;2;5
20180401;1200;37.462;24;2;5
20180402;1200;37.438;24;2;5
20180403;1200;37.438;24;2;5
20180404;1200;37.435;24;2;5
20180405;1200;37.433;24;2;5
20180406;1200;37.426;24;2;5
20180407;1200;37.450;24;2;5
20180408;1200;37.480;24;2;5
20180409;1200;37.474;24;2;5
20180410;1200;37.451;24;2;5
20180411;1200;37.436;24;2;5
20180412;1200;37.406;24;2;5
20180413;1200;37.348;24;2;5
20180414;1200;37.344;24;2;5
20180415;1200;37.348;24;2;5
20180416;1200;37.262;24;2;5
20180417;1200;37.246;24;2;5
20180418;1200;37.253;24;2;5
20180419;1200;37.271;24;2;5
20180420;1200;37.304;24;2;5
20180421;1200;37.298;24;2;5
20180422;1200;37.295;24;2;5
20180423;1200;37.298;24;2;5
20180424;1200;37.304;24;2;5
20180425;1200;37.296;24;2;5
20180426;1200;37.292;24;2;5
20180427;1200;37.322;24;2;5
20180428;1200;37.335;24;2;5
20180429;1200;37.339;24;2;5
20180430;1200;37.389;24;2;5
20180501;1200;37.380;24;2;5
20180502;1200;37.377;24;2;5
20180503;1200;37.370;24;2;5
20180504;1200;37.370;24;2;5
20180505;1200;37.428;24;2;5
20180506;1200;37.426;24;2;5
20180507;1200;37.415;24;2;5
20180508;1200;37.425;24;2;5
20180509;1200;37.439;24;2;5
20180510;1200;37.433;24;2;5
20180511;1200;37.369;24;2;5
20180512;1200;37.404;24;2;5
20180513;1200;37.427;24;2;5
20180514;1200;37.433;24;2;5
20180515;1200;37.440;24;2;5
20180516;1200;37.459;24;2;5
20180517;1200;37.456;24;2;5
20180518;1200;37.453;24;2;5
20180519;1200;37.425;24;2;5
20180520;1200;37.408;24;2;5
20180521;1200;37.384;24;2;5
20180522;1200;37.434;24;2;5
20180523;1200;37.463;24;2;5
20180524;1200;37.429;24;2;5
20180525;1200;37.446;24;2;5
20180526;1200;37.450;24;2;5
20180527;1200;37.416;24;2;5
20180528;1200;37.434;24;2;5
20180529;1200;37.412;24;2;5
20180530;1200;37.374;24;2;5
20180531;1200;37.347;24;2;5
20180601;1200;37.319;24;2;5
20180602;1200;37.320;24;2;5
20180603;1200;37.321;24;2;5
20180604;1200;37.244;24;2;5
20180605;1200;37.259;24;2;5
20180606;1200;37.260;24;2;5
20180607;1200;37.270;24;2;5
20180608;1200;37.381;24;2;5
20180609;1200;37.324;24;2;5
20180610;1200;37.315;24;2;5
20180611;1200;37.394;24;2;5
20180612;1200;37.398;24;2;5
20180613;1200;37.403;24;2;5
20180614;1200;37.413;24;2;5
20180615;1200;37.391;24;2;5
20180616;1200;37.380;24;2;5
20180617;1200;37.399;24;2;5
20180618;1200;37.396;24;2;5
20180619;1200;37.388;24;2;5
20180620;1200;37.420;24;2;5
20180621;1200;37.444;24;2;5
20180622;1200;37.434;24;2;5
20180623;1200;37.429;24;2;5
20180624;1200;37.419;24;2;5
20180625;1200;37.413;24;2;5
20180626;1200;37.407;24;2;5
20180627;1200;37.379;24;2;5
20180628;1200;37.365;24;2;5
20180629;1200;37.374;24;2;5
20180630;1200;37.377;24;2;5
20180701;1200;37.395;24;2;5
20180702;1200;37.398;24;2;5
20180703;1200;37.410;24;2;5
20180704;1200;37.413;24;2;5
20180705;1200;37.405;24;2;5
20180706;1200;37.396;24;2;5
20180707;1200;37.406;24;2;5
20180708;1200;37.398;24;2;5
20180709;1200;37.400;24;2;5
20180710;1200;37.401;24;2;5
20180711;1200;37.402;24;2;5
20180712;1200;37.407;24;2;5
20180713;1200;37.405;24;2;5
20180714;1200;37.389;24;2;5
20180715;1200;37.401;24;2;5
20180716;1200;37.429;24;2;5
20180717;1200;37.431;24;2;5
20180718;1200;37.435;24;2;5
20180719;1200;37.431;24;2;5
20180720;1200;37.429;24;2;5
20180721;1200;37.431;24;2;5
20180722;1200;37.424;24;2;5
20180723;1200;37.432;24;2;5
20180724;1200;37.424;24;2;5
20180725;1200;37.422;24;2;5
20180726;1200;37.421;24;2;5
20180727;1200;37.415;24;2;5
20180728;1200;37.408;24;2;5
20180729;1200;37.420;24;2;5
20180730;1200;37.399;24;2;5
20180731;1200;37.373;24;2;5
20180801;1200;37.393;24;2;5
20180802;1200;37.412;24;2;5
20180803;1200;37.423;24;2;5
20180804;1200;37.422;24;2;5
20180805;1200;37.426;24;2;5
20180806;1200;37.424;24;2;5
20180807;1200;37.426;24;2;5
20180808;1200;37.417;24;2;5
20180809;1200;37.408;24;2;5
20180810;1200;37.407;24;2;5
20180811;1200;37.413;24;2;5
20180812;1200;37.422;24;2;5
20180813;1200;37.395;24;2;5
20180814;1200;37.415;24;2;5
20180815;1200;37.410;24;2;5
20180816;1200;37.429;24;2;5
20180817;1200;37.434;24;2;5
20180818;1200;37.432;24;2;5
20180819;1200;37.424;24;2;5
20180820;1200;37.415;24;2;5
20180821;1200;37.420;24;2;5
20180822;1200;37.418;24;2;5
20180823;1200;37.422;24;2;5
20180824;1200;37.425;24;2;5
20180825;1200;37.417;24;2;5
20180826;1200;37.414;24;2;5
20180827;1200;37.404;24;2;5
20180828;1200;37.428;24;2;5
20180829;1200;37.423;24;2;5
20180830;1200;37.401;24;2;5
20180831;1200;37.352;24;2;5
20180901;1200;37.359;24;2;5
20180902;1200;37.353;24;2;5
20180903;1200;37.316;24;2;5
20180904;1200;37.322;24;2;5
20180905;1200;37.309;24;2;5
20180906;1200;37.365;24;2;5
20180907;1200;37.352;24;2;5
20180908;1200;37.375;24;2;5
20180909;1200;37.325;24;2;5
20180910;1200;37.343;24;2;5
20180911;1200;37.364;24;2;5
20180912;1200;37.381;24;2;5
20180913;1200;37.390;24;2;5
20180914;1200;37.395;24;2;5
20180915;1200;37.404;24;2;5
20180916;1200;37.387;24;2;5
20180917;1200;37.257;24;2;5
20180918;1200;37.256;24;2;5
20180919;1200;37.273;24;2;5
20180920;1200;37.285;24;2;5
20180921;1200;37.268;24;2;5
20180922;1200;37.259;24;2;5
20180923;1200;37.268;24;2;5
20180924;1200;37.303;24;2;5
20180925;1200;37.315;24;2;5
20180926;1200;37.318;24;2;5
20180927;1200;37.326;24;2;5
20180928;1200;37.333;24;2;5
20180929;1200;37.325;24;2;5
20180930;1200;37.350;24;2;5
20181001;1200;37.372;24;2;5
20181002;1200;37.379;24;2;5
20181003;1200;37.404;24;2;5
20181004;1200;37.420;24;2;5
20181005;1200;37.448;24;2;5
20181006;1200;37.459;24;2;5
20181007;1200;37.457;24;2;5
20181008;1200;37.420;24;2;5
20181009;1200;37.416;24;2;5
20181010;1200;37.468;24;2;5
20181011;1200;37.470;24;2;5
20181012;1200;37.470;24;2;5
20181013;1200;37.469;24;2;5
20181014;1200;37.469;24;2;5
20181015;1200;37.463;24;2;5
20181016;1200;37.336;24;2;5
20181017;1200;37.414;24;2;5
20181018;1200;37.245;24;2;5
20181019;1200;37.424;24;2;5
20181020;1200;37.404;24;2;5
20181021;1200;37.407;24;2;5
20181022;1200;37.423;24;2;5
20181023;1200;37.423;24;2;5
20181024;1200;37.438;24;2;5
20181025;1200;37.444;24;2;5
20181026;1200;37.461;24;2;5
20181027;1200;37.488;24;2;5
20181028;1200;37.470;24;2;5
20181029;1200;37.420;24;2;5
20181030;1200;37.450;24;2;5
20181031;1200;37.374;24;2;5
20181101;1200;37.421;24;2;5
20181102;1200;37.407;24;2;5
20181103;1200;37.414;24;2;5
20181104;1200;37.406;24;2;5
20181105;1200;37.420;24;2;5
20181106;1200;37.441;24;2;5
20181107;1200;37.453;24;2;5
20181108;1200;37.441;24;2;5
20181109;1200;37.438;24;2;5
20181110;1200;37.454;24;2;5
20181111;1200;37.450;24;2;5
20181112;1200;37.438;24;2;5
20181113;1200;37.353;24;2;5
20181114;1200;37.393;24;2;5
20181115;1200;37.391;24;2;5
20181116;1200;37.363;24;2;5
20181117;1200;37.361;24;2;5
20181118;1200;37.382;24;2;5
20181119;1200;37.360;24;2;5
20181120;1200;37.378;24;2;5
20181121;1200;37.367;24;2;5
20181122;1200;37.419;24;2;5
20181123;1200;37.398;24;2;5
20181124;1200;37.378;24;2;5
20181125;1200;37.341;24;2;5
20181126;1200;37.307;24;2;5
20181127;1200;37.291;24;2;5
20181128;1200;37.273;24;2;5
20181129;1200;37.262;0;0;0
20181130;1200;37.258;0;0;0
20181201;1200;37.253;24;2;1
20181202;1200;37.227;24;2;1
20181203;1200;37.170;24;2;1
20181204;1200;36.539;24;2;1
20181205;1200;36.730;24;2;1
20181206;1200;36.869;24;2;1
20181207;1200;36.904;24;2;1
20181208;1200;36.998;24;2;1
20181209;1200;37.147;24;2;1
20181210;1200;37.145;24;2;1
20181211;1200;37.087;24;2;1
20181212;1200;37.191;24;2;1
20181213;1200;37.226;24;2;1
20181214;1200;37.251;24;2;1
20181215;1200;37.257;24;2;1
20181216;1200;37.247;24;2;1
20181217;1200;37.234;24;2;1
20181218;1200;37.175;24;2;1
20181219;1200;37.178;24;2;1
20181220;1200;37.157;24;2;1
20181221;1200;37.168;24;2;1
20181222;1200;37.144;24;2;1
20181223;1200;37.171;24;2;1
20181224;1200;37.174;24;2;1
20181225;1200;37.189;24;2;1
20181226;1200;37.208;24;2;1
20181227;1200;37.224;24;2;1
20181228;1200;37.243;24;2;1
20181229;1200;37.230;24;2;1
20181230;1200;37.240;24;2;1
20181231;1200;37.278;24;2;1
