YYYYMMDD;HHMM;SLP;Q;S
20180101;1200;1013.5;2;5
20180102;1200;1011.2;2;5
20180103;1200;1011.3;2;5
20180104;1200;1013.8;2;5
20180105;1200;1017.0;2;5
20180106;1200;1016.6;2;5
20180107;1200;1015.7;2;5
20180108;1200;1016.7;2;5
20180109;1200;1017.5;2;5
20180110;1200;1017.7;2;5
20180111;1200;1016.6;2;5
20180112;1200;1015.2;2;5
20180113;1200;1015.3;2;5
20180114;1200;1016.4;2;5
20180115;1200;1017.2;2;5
20180116;1200;1017.7;2;5
20180117;1200;1017.6;2;5
20180118;1200;1017.4;2;5
20180119;1200;1016.4;2;5
20180120;1200;1015.5;2;5
20180121;1200;1015.0;2;5
20180122;1200;1014.5;2;5
20180123;1200;1015.1;2;5
20180124;1200;1014.6;2;5
20180125;1200;1013.3;2;5
20180126;1200;1012.7;2;5
20180127;1200;1012.5;2;5
20180128;1200;1012.6;2;5
20180129;1200;1011.8;2;5
20180130;1200;1011.0;2;5
20180131;1200;1011.3;2;5
20180201;1200;1012.1;2;5
20180202;1200;1010.2;2;5
20180203;1200;1009.8;2;5
20180204;1200;1012.3;2;5
20180205;1200;1012.7;2;5
20180206;1200;1012.5;2;5
20180207;1200;1012.3;2;5
20180208;1200;1013.9;2;5
20180209;1200;1015.4;2;5
20180210;1200;1015.5;2;5
20180211;1200;1014.5;2;5
20180212;1200;1014.2;2;5
20180213;1200;1015.2;2;5
20180214;1200;1016.4;2;5
20180215;1200;1017.2;2;5
20180216;1200;1017.6;2;5
20180217;1200;1016.0;2;5
20180218;1200;1014.1;2;5
20180219;1200;1012.7;2;5
20180220;1200;1012.7;2;5
20180221;1200;1013.0;2;5
20180222;1200;1012.6;2;5
20180223;1200;1013.1;2;5
20180224;1200;1013.2;2;5
20180225;1200;1014.3;2;5
20180226;1200;1015.4;2;5
20180227;1200;1015.3;2;5
20180228;1200;1014.4;2;5
20180301;1200;1016.0;2;5
20180302;1200;1015.9;2;5
20180303;1200;1013.9;2;5
20180304;1200;1012.2;2;5
20180305;1200;1011.1;2;5
20180306;1200;1010.2;2;5
20180307;1200;1010.1;2;5
20180308;1200;1011.3;2;5
20180309;1200;1012.9;2;5
20180310;1200;1012.8;2;5
20180311;1200;1011.1;2;5
20180312;1200;1008.9;2;5
20180313;1200;1010.7;2;5
20180314;1200;1013.6;2;5
20180315;1200;1014.7;2;5
20180316;1200;1014.1;2;5
20180317;1200;1013.2;2;5
20180318;1200;1012.4;2;5
20180319;1200;1012.6;2;5
20180320;1200;1013.5;2;5
20180321;1200;1014.2;2;5
20180322;1200;1014.2;2;5
20180323;1200;1015.2;2;5
20180324;1200;1015.8;2;5
20180325;1200;1015.6;2;5
20180326;1200;1015.4;2;5
20180327;1200;1016.4;2;5
20180328;1200;1015.5;2;5
20180329;1200;1014.2;2;5
20180330;1200;1013.8;2;5
20180331;1200;1014.0;2;5
20180401;1200;1013.6;2;5
20180402;1200;1012.8;2;5
20180403;1200;1011.2;2;5
20180404;1200;1011.2;2;5
20180405;1200;1011.5;2;5
20180406;1200;1012.3;2;5
20180407;1200;1013.6;2;5
20180408;1200;1014.4;2;5
20180409;1200;1015.0;2;5
20180410;1200;1015.6;2;5
20180411;1200;1015.8;2;5
20180412;1200;1016.5;2;5
20180413;1200;1016.7;2;5
20180414;1200;1017.3;2;5
20180415;1200;1017.2;2;5
20180416;1200;1015.8;2;5
20180417;1200;1016.7;2;5
20180418;1200;1018.7;2;5
20180419;1200;1018.9;2;5
20180420;1200;1017.4;2;5
20180421;1200;1016.0;2;5
20180422;1200;1016.2;2;5
20180423;1200;1017.6;2;5
20180424;1200;1018.2;2;5
20180425;1200;1018.0;2;5
20180426;1200;1017.1;2;5
20180427;1200;1017.0;2;5
20180428;1200;1017.2;2;5
20180429;1200;1017.4;2;5
20180430;1200;1017.5;2;5
20180501;1200;1017.6;2;5
20180502;1200;1017.8;2;5
20180503;1200;1017.4;2;5
20180504;1200;1017.3;2;5
20180505;1200;1017.9;2;5
20180506;1200;1018.1;2;5
20180507;1200;1017.6;2;5
20180508;1200;1016.5;2;5
20180509;1200;1016.4;2;5
20180510;1200;1016.7;2;5
20180511;1200;1016.9;2;5
20180512;1200;1015.7;2;5
20180513;1200;1015.5;2;5
20180514;1200;1016.9;2;5
20180515;1200;1017.4;2;5
20180516;1200;1016.7;2;5
20180517;1200;1016.4;2;5
20180518;1200;1016.8;2;5
20180519;1200;1015.4;2;5
20180520;1200;1012.7;2;5
20180521;1200;1014.3;2;5
20180522;1200;1017.2;2;5
20180523;1200;1018.8;2;5
20180524;1200;1020.1;2;5
20180525;1200;1019.4;2;5
20180526;1200;1018.6;2;5
20180527;1200;1019.4;2;5
20180528;1200;1020.0;2;5
20180529;1200;1020.1;2;5
20180530;1200;1018.8;2;5
20180531;1200;1017.8;2;5
20180601;1200;1017.8;2;5
20180602;1200;1018.4;2;5
20180603;1200;1018.7;2;5
20180604;1200;1018.2;2;5
20180605;1200;1016.7;2;5
20180606;1200;1015.9;2;5
20180607;1200;1017.8;2;5
20180608;1200;1018.0;2;5
20180609;1200;1019.5;2;5
20180610;1200;1020.0;2;5
20180611;1200;1019.4;2;5
20180612;1200;1019.3;2;5
20180613;1200;1019.7;2;5
20180614;1200;1020.1;2;5
20180615;1200;1021.0;2;5
20180616;1200;1021.5;2;5
20180617;1200;1022.2;2;5
20180618;1200;1022.6;2;5
20180619;1200;1022.4;2;5
20180620;1200;1022.1;2;5
20180621;1200;1021.1;2;5
20180622;1200;1020.5;2;5
20180623;1200;1020.4;2;5
20180624;1200;1020.0;2;5
20180625;1200;1019.4;2;5
20180626;1200;1018.7;2;5
20180627;1200;1019.3;2;5
20180628;1200;1019.9;2;5
20180629;1200;1019.5;2;5
20180630;1200;1017.4;2;5
20180701;1200;1017.0;2;5
20180702;1200;1017.2;2;5
20180703;1200;1017.0;2;5
20180704;1200;1017.9;2;5
20180705;1200;1019.4;2;5
20180706;1200;1019.6;2;5
20180707;1200;1019.6;2;5
20180708;1200;1019.1;2;5
20180709;1200;1018.6;2;5
20180710;1200;1019.4;2;5
20180711;1200;1019.7;2;5
20180712;1200;1020.9;2;5
20180713;1200;1020.9;2;5
20180714;1200;1020.1;2;5
20180715;1200;1020.8;2;5
20180716;1200;1022.1;2;5
20180717;1200;1022.4;2;5
