YYYYMMDD;HHMM;Prec;StDev;%Time;Q;S
20200101;1200;0.52;4.79;13.00;2;1
20200102;1200;0.09;1.99;1.00;2;1
20200103;1200;0.00;0.38;1.00;2;1
20200104;1200;-0.05;0.24;0.00;2;1
20200105;1200;-0.05;0.24;0.00;2;1
20200106;1200;0.00;0.24;0.00;2;1
20200107;1200;0.00;0.19;0.00;2;1
20200108;1200;0.00;0.19;0.00;2;1
20200109;1200;0.00;0.38;1.00;2;1
20200110;1200;0.05;0.66;2.00;2;1
20200111;1200;0.05;0.47;1.00;2;1
20200112;1200;0.05;0.38;2.00;2;1
20200113;1200;0.00;0.24;0.00;2;1
20200114;1200;0.00;0.24;0.00;2;1
20200115;1200;0.00;0.24;0.00;2;1
20200116;1200;0.00;0.24;0.00;2;1
20200117;1200;0.00;0.38;1.00;2;1
20200118;1200;0.00;0.24;0.00;2;1
20200119;1200;0.00;0.24;0.00;2;1
20200120;1200;0.00;0.24;0.00;2;1
20200121;1200;0.00;0.33;0.00;2;1
20200122;1200;0.19;2.37;2.00;2;1
20200123;1200;-0.05;0.28;0.00;2;1
20200124;1200;0.52;4.84;3.00;2;1
20200125;1200;-0.05;0.38;1.00;2;1
20200126;1200;0.09;1.14;3.00;2;1
20200127;1200;0.05;3.23;15.00;2;1
20200128;1200;0.00;1.00;5.00;2;1
20200129;1200;0.00;1.28;2.00;2;1
20200130;1200;-0.05;1.04;2.00;2;1
20200131;1200;-0.05;1.09;1.00;2;1
20200201;1200;0.00;0.71;0.00;2;1
20200202;1200;-0.05;0.38;0.00;2;1
20200203;1200;-0.05;0.28;0.00;2;1
20200204;1200;0.00;0.28;0.00;2;1
20200205;1200;-0.05;0.28;0.00;2;1
20200206;1200;0.00;0.28;0.00;2;1
20200207;1200;0.00;0.28;0.00;2;1
20200208;1200;-0.05;0.28;0.00;2;1
20200209;1200;-0.05;0.33;1.00;2;1
20200210;1200;0.00;0.28;0.00;2;1
20200211;1200;0.00;0.33;1.00;2;1
20200212;1200;0.00;0.38;1.00;2;1
20200213;1200;0.05;1.33;2.00;2;1
20200214;1200;-0.05;0.33;1.00;2;1
20200215;1200;0.19;2.42;2.00;2;1
20200216;1200;0.00;0.47;1.00;2;1
20200217;1200;0.00;0.62;1.00;2;1
20200218;1200;0.09;10.40;6.00;2;1
20200219;1200;-0.05;0.76;2.00;2;1
20200220;1200;0.00;0.47;2.00;2;1
20200221;1200;-0.05;0.38;1.00;2;1
20200222;1200;-0.05;0.38;0.00;2;1
20200223;1200;-0.05;0.38;1.00;2;1
20200224;1200;0.00;0.33;1.00;2;1
20200225;1200;0.00;0.33;1.00;2;1
20200226;1200;-0.05;0.38;1.00;2;1
20200227;1200;-0.05;0.38;1.00;2;1
20200228;1200;-0.05;0.43;2.00;2;1
20200229;1200;0.19;2.28;3.00;2;1
20200301;1200;0.05;0.57;1.00;2;1
20200302;1200;-0.05;0.47;0.00;2;1
20200303;1200;0.00;0.66;1.00;2;1
20200304;1200;-0.05;0.71;1.00;2;1
20200305;1200;0.00;0.52;2.00;2;1
20200306;1200;0.00;0.28;0.00;2;1
20200307;1200;0.85;2.75;19.00;2;1
20200308;1200;1.99;5.22;28.00;2;1
20200309;1200;0.95;2.18;24.00;2;1
