YYYYMMDD;HHMM;SSS;ID;Q;S
20210101;1200;36.820;24;2;1
20210102;1200;36.809;24;2;1
20210103;1200;36.808;24;2;1
20210104;1200;36.825;24;2;1
20210105;1200;36.830;24;2;1
20210106;1200;36.862;24;2;1
20210107;1200;36.855;24;2;1
20210108;1200;36.857;24;2;1
20210109;1200;36.874;24;2;1
20210110;1200;36.879;24;2;1
20210111;1200;36.893;24;2;1
20210112;1200;36.924;24;2;1
20210113;1200;36.861;24;2;1
20210114;1200;36.865;24;2;1
20210115;1200;36.888;24;2;1
20210116;1200;36.921;24;2;1
20210117;1200;36.947;24;2;1
20210118;1200;36.954;24;2;1
20210119;1200;36.979;24;2;1
20210120;1200;37.012;24;2;1
20210121;1200;37.057;24;2;1
20210122;1200;37.121;24;2;1
20210123;1200;37.149;24;2;1
20210124;1200;37.163;24;2;1
20210125;1200;37.163;24;2;1
20210126;1200;37.151;24;2;1
20210127;1200;37.128;24;2;1
20210128;1200;37.095;24;2;1
20210129;1200;37.090;24;2;1
20210130;1200;37.101;24;2;1
20210131;1200;37.084;24;2;1
20210201;1200;37.119;24;2;1
20210202;1200;37.139;24;2;1
20210203;1200;37.141;24;2;1
20210204;1200;37.149;24;2;1
20210205;1200;37.161;24;2;1
20210206;1200;37.154;24;2;1
20210207;1200;37.139;24;2;1
20210208;1200;37.049;24;2;1
20210209;1200;37.040;24;2;1
20210210;1200;37.075;24;2;1
20210211;1200;37.108;24;2;1
20210212;1200;37.131;24;2;1
20210213;1200;37.144;24;2;1
20210214;1200;37.112;24;2;1
20210215;1200;37.072;24;2;1
20210216;1200;36.975;24;2;1
20210217;1200;36.933;24;2;1
20210218;1200;36.955;24;2;1
20210219;1200;36.963;24;2;1
20210220;1200;36.982;24;2;1
20210221;1200;37.013;24;2;1
20210222;1200;37.044;24;2;1
20210223;1200;37.083;24;2;1
20210224;1200;37.101;24;2;1
20210225;1200;37.116;24;2;1
20210226;1200;37.148;24;2;1
20210227;1200;37.117;24;2;1
20210228;1200;37.062;24;2;1
20210301;1200;37.043;24;2;1
20210302;1200;37.038;24;2;1
20210303;1200;37.039;24;2;1
20210304;1200;37.040;24;2;1
20210305;1200;37.046;24;2;1
20210306;1200;37.052;24;2;1
20210307;1200;37.059;24;2;1
20210308;1200;37.087;24;2;1
20210309;1200;37.114;24;2;1
20210310;1200;37.149;24;2;1
20210311;1200;37.159;24;2;1
20210312;1200;37.158;24;2;1
20210313;1200;37.140;24;2;1
20210314;1200;37.135;24;2;1
20210315;1200;37.052;24;2;1
20210316;1200;37.046;24;2;1
20210317;1200;37.040;24;2;1
20210318;1200;37.045;24;2;1
20210319;1200;37.047;24;2;1
20210320;1200;37.044;24;2;1
20210321;1200;37.005;24;2;1
20210322;1200;37.035;24;2;1
20210323;1200;37.027;24;2;1
20210324;1200;37.024;24;2;1
20210325;1200;37.028;24;2;1
20210326;1200;37.032;24;2;1
20210327;1200;37.044;24;2;1
20210328;1200;37.059;24;2;1
20210329;1200;37.076;24;2;1
20210330;1200;37.093;24;2;1
20210331;1200;37.106;24;2;1
20210401;1200;37.131;24;2;1
20210402;1200;37.185;24;2;1
20210403;1200;37.268;24;2;1
20210404;1200;37.281;24;2;1
20210405;1200;37.303;24;2;1
20210406;1200;37.318;24;2;1
20210407;1200;37.321;24;2;1
20210408;1200;37.321;24;2;1
20210409;1200;37.348;24;2;1
20210410;1200;37.353;24;2;1
20210411;1200;37.312;24;2;1
20210412;1200;37.266;24;2;1
20210413;1200;37.255;24;2;1
20210414;1200;37.263;24;2;1
20210415;1200;37.275;24;2;1
20210416;1200;37.313;24;2;1
20210417;1200;37.293;24;2;1
20210418;1200;37.300;24;2;1
20210419;1200;37.297;24;2;1
20210420;1200;37.292;24;2;1
20210421;1200;37.297;24;2;1
20210422;1200;37.294;24;2;1
20210423;1200;37.281;24;2;1
20210424;1200;37.263;24;2;1
20210425;1200;37.267;24;2;1
20210426;1200;37.250;24;2;1
20210427;1200;37.237;24;2;1
20210428;1200;37.176;24;2;1
20210429;1200;37.205;24;2;1
20210430;1200;37.200;24;2;1
20210501;1200;37.219;24;2;1
20210502;1200;37.242;24;2;1
20210503;1200;37.212;24;2;1
20210504;1200;37.176;24;2;1
20210505;1200;37.129;24;2;1
20210506;1200;37.117;24;2;1
20210507;1200;37.089;24;2;1
20210508;1200;37.101;24;2;1
20210509;1200;37.113;24;2;1
20210510;1200;37.167;24;2;1
20210511;1200;37.294;24;2;1
20210512;1200;37.371;24;2;1
20210513;1200;37.361;24;2;1
20210514;1200;37.378;24;2;1
20210515;1200;37.383;24;2;1
20210516;1200;37.385;24;2;1
20210517;1200;37.392;24;2;1
20210518;1200;37.392;24;2;1
20210519;1200;37.387;24;2;1
20210520;1200;37.390;24;2;1
20210521;1200;37.382;24;2;1
20210522;1200;37.392;24;2;1
20210523;1200;37.388;24;2;1
20210524;1200;37.404;24;2;1
20210525;1200;37.328;24;2;1
20210526;1200;37.137;24;2;1
20210527;1200;37.089;24;2;1
20210528;1200;37.168;24;2;1
20210529;1200;37.138;24;2;1
20210530;1200;37.102;24;2;1
20210531;1200;37.072;24;2;1
20210601;1200;37.067;24;2;1
20210602;1200;37.083;24;2;1
20210603;1200;37.099;24;2;1
20210604;1200;37.127;24;2;1
20210605;1200;37.138;24;2;1
20210606;1200;37.154;24;2;1
20210607;1200;37.289;24;2;1
20210608;1200;37.362;24;2;1
20210609;1200;37.305;24;2;1
20210610;1200;37.313;24;2;1
20210611;1200;37.342;24;2;1
20210612;1200;37.317;24;2;1
20210613;1200;37.313;24;2;1
20210614;1200;37.321;24;2;1
20210615;1200;37.283;24;2;1
20210616;1200;37.294;24;2;1
20210617;1200;37.282;24;2;1
20210618;1200;37.244;24;2;1
20210619;1200;37.264;24;2;1
20210620;1200;37.235;24;2;1
20210621;1200;37.198;24;2;1
20210622;1200;37.221;24;2;1
20210623;1200;37.163;24;2;1
20210624;1200;37.177;24;2;1
20210625;1200;37.179;24;2;1
20210626;1200;37.185;24;2;1
20210627;1200;37.170;24;2;1
20210628;1200;37.160;24;2;1
20210629;1200;37.141;24;2;1
20210630;1200;37.120;24;2;1
20210701;1200;37.100;24;2;1
20210702;1200;37.059;24;2;1
20210703;1200;36.988;24;2;1
20210704;1200;36.982;24;2;1
20210705;1200;36.967;24;2;1
20210706;1200;36.966;24;2;1
20210707;1200;36.956;24;2;1
20210708;1200;37.041;24;2;1
20210709;1200;37.087;24;2;1
20210710;1200;37.102;24;2;1
20210711;1200;37.115;24;2;1
20210712;1200;37.120;24;2;1
20210713;1200;37.114;24;2;1
20210714;1200;37.127;24;2;1
20210715;1200;37.135;24;2;1
20210716;1200;37.134;24;2;1
20210717;1200;37.133;24;2;1
20210718;1200;37.126;24;2;1
20210719;1200;37.126;24;2;1
20210720;1200;37.136;24;2;1
20210721;1200;37.138;24;2;1
20210722;1200;37.148;24;2;1
20210723;1200;37.144;24;2;1
20210724;1200;37.145;24;2;1
20210725;1200;37.150;24;2;1
20210726;1200;37.150;24;2;1
20210727;1200;37.134;24;2;1
