YYYYMMDD;HHMM;DYN;Q
20220101;1200;-9.99;2
20220102;1200;-9.99;2
20220103;1200;-9.99;2
20220104;1200;-9.99;2
20220105;1200;-9.99;2
20220106;1200;-9.99;2
20220107;1200;-9.99;2
20220108;1200;-9.99;2
20220109;1200;-9.99;2
20220110;1200;-9.99;2
20220111;1200;-9.99;2
20220112;1200;-9.99;2
20220113;1200;-9.99;2
20220114;1200;-9.99;2
20220115;1200;-9.99;2
20220116;1200;-9.99;2
20220117;1200;-9.99;2
20220118;1200;-9.99;2
20220119;1200;-9.99;2
20220120;1200;-9.99;2
20220121;1200;-9.99;2
20220122;1200;-9.99;2
20220123;1200;-9.99;2
20220124;1200;-9.99;2
20220125;1200;-9.99;2
20220126;1200;-9.99;2
20220127;1200;-9.99;2
20220128;1200;-9.99;2
20220129;1200;-9.99;2
20220130;1200;-9.99;2
20220131;1200;-9.99;2
20220201;1200;-9.99;2
20220202;1200;-9.99;2
20220203;1200;-9.99;2
20220204;1200;-9.99;2
20220205;1200;-9.99;2
20220206;1200;-9.99;2
20220207;1200;-9.99;2
20220208;1200;-9.99;2
20220209;1200;-9.99;2
20220210;1200;-9.99;2
20220211;1200;-9.99;2
20220212;1200;-9.99;2
20220213;1200;-9.99;2
20220214;1200;-9.99;2
20220215;1200;-9.99;2
20220216;1200;-9.99;2
20220217;1200;-9.99;2
20220218;1200;-9.99;2
20220219;1200;-9.99;2
20220220;1200;-9.99;2
20220221;1200;-9.99;2
20220222;1200;-9.99;2
20220223;1200;-9.99;2
20220224;1200;-9.99;2
20220225;1200;-9.99;2
20220226;1200;-9.99;2
20220227;1200;-9.99;2
20220228;1200;-9.99;2
20220301;1200;-9.99;2
20220302;1200;-9.99;2
20220303;1200;-9.99;2
20220304;1200;-9.99;2
20220305;1200;-9.99;2
20220306;1200;-9.99;2
20220307;1200;-9.99;2
20220308;1200;-9.99;2
20220309;1200;-9.99;2
20220310;1200;-9.99;2
20220311;1200;-9.99;2
20220312;1200;-9.99;2
20220313;1200;-9.99;2
20220314;1200;-9.99;2
20220315;1200;-9.99;2
20220316;1200;-9.99;2
20220317;1200;-9.99;2
20220318;1200;-9.99;2
20220319;1200;-9.99;2
20220320;1200;-9.99;2
20220321;1200;-9.99;2
20220322;1200;-9.99;2
20220323;1200;-9.99;2
20220324;1200;-9.99;2
20220325;1200;-9.99;2
20220326;1200;-9.99;2
20220327;1200;-9.99;2
20220328;1200;-9.99;2
20220329;1200;-9.99;2
20220330;1200;-9.99;2
20220331;1200;-9.99;2
20220401;1200;-9.99;2
20220402;1200;-9.99;2
20220403;1200;-9.99;2
