YYYYMMDD;HHMM;UWND;VWND;WSPD;WDIR;SD;SD
20220101;1200;-5.4;-1.9;5.7;250.6;22;11
20220102;1200;-5.8;-0.1;5.8;269.4;22;11
20220103;1200;-5.4;-1.0;5.5;259.5;22;11
20220104;1200;-6.5;-0.2;6.6;268.3;22;11
20220105;1200;-6.0;-0.4;6.1;266.1;22;11
20220106;1200;-6.3;-2.3;6.7;250.0;22;11
20220107;1200;-6.8;-1.6;7.0;256.5;22;11
20220108;1200;-6.3;-0.3;6.3;267.3;22;11
20220109;1200;-5.7;1.9;6.1;288.8;22;11
20220110;1200;-6.0;2.7;6.6;294.0;22;11
20220111;1200;-5.3;1.3;5.4;283.8;22;11
20220112;1200;-5.5;1.9;5.8;288.6;22;11
20220113;1200;-4.6;2.3;5.1;296.4;22;11
20220114;1200;-5.1;4.2;6.6;309.1;22;11
20220115;1200;-5.6;3.7;6.7;303.8;22;11
20220116;1200;-3.1;2.3;3.9;307.1;22;11
20220117;1200;-3.7;1.6;4.0;293.6;22;11
20220118;1200;-3.8;0.2;3.8;273.1;22;11
20220119;1200;-4.1;-0.2;4.1;267.8;22;11
20220120;1200;-3.7;0.5;3.7;277.5;22;11
20220121;1200;-1.5;0.4;1.6;285.2;22;11
20220122;1200;-2.6;1.0;2.8;291.5;22;11
20220123;1200;-5.9;-2.1;6.3;250.2;22;11
20220124;1200;-5.8;-1.6;6.0;254.3;22;11
20220125;1200;-6.3;1.2;6.4;281.2;22;11
20220126;1200;-6.2;1.1;6.3;279.7;22;11
20220127;1200;-6.5;2.9;7.1;293.8;22;11
20220128;1200;-5.1;0.5;5.2;275.1;22;11
20220129;1200;-3.7;-3.0;4.7;231.2;22;11
20220130;1200;-5.0;0.1;5.0;270.9;22;11
20220131;1200;-6.0;0.5;6.0;274.8;22;11
20220201;1200;-4.2;-0.4;4.2;264.0;22;11
20220202;1200;-3.2;-0.7;3.3;257.8;22;11
20220203;1200;-4.3;-1.0;4.5;257.3;22;11
20220204;1200;-6.2;0.4;6.2;273.9;22;11
20220205;1200;-6.8;0.8;6.8;276.9;22;11
20220206;1200;-4.8;-0.5;4.8;264.1;22;11
20220207;1200;-5.8;-1.0;5.9;260.5;22;11
20220208;1200;-5.5;-0.6;5.6;263.6;22;11
20220209;1200;-7.5;0.2;7.6;271.7;22;11
20220210;1200;-5.5;-2.6;6.1;244.6;22;11
20220211;1200;-6.1;0.2;6.1;272.2;22;11
20220212;1200;-4.5;-2.2;5.0;244.1;22;11
20220213;1200;-5.1;-1.8;5.4;250.9;22;11
20220214;1200;-6.4;-0.1;6.4;269.0;22;11
20220215;1200;-5.3;-0.1;5.3;269.1;22;11
20220216;1200;-5.9;-0.3;5.9;266.8;22;11
20220217;1200;-4.3;-0.5;4.4;263.2;22;11
20220218;1200;-5.5;-0.8;5.5;261.6;22;11
20220219;1200;-6.3;-2.3;6.7;250.0;22;11
20220220;1200;-5.8;-0.1;5.8;269.4;22;11
20220221;1200;-3.7;0.0;3.7;270.1;22;11
20220222;1200;-4.4;-0.8;4.5;259.9;22;11
20220223;1200;-5.6;-0.4;5.6;265.6;22;11
20220224;1200;-5.0;-0.4;5.0;265.7;22;11
20220225;1200;-6.9;1.8;7.2;284.7;22;11
20220226;1200;-6.0;0.5;6.0;274.8;22;11
20220227;1200;-5.7;0.9;5.8;278.5;22;11
20220228;1200;-5.6;1.6;5.8;285.8;22;11
20220301;1200;-6.3;1.7;6.5;285.2;22;11
20220302;1200;-6.9;1.6;7.1;283.4;22;11
20220303;1200;-7.3;0.6;7.3;274.5;22;11
20220304;1200;-7.5;0.5;7.5;273.8;22;11
20220305;1200;-6.0;0.1;6.0;270.5;22;11
20220306;1200;-6.4;1.6;6.6;284.1;22;11
20220307;1200;-5.7;0.9;5.8;278.5;22;11
20220308;1200;-6.3;0.3;6.4;273.1;22;11
20220309;1200;-5.9;-0.1;5.9;268.7;22;11
20220310;1200;-6.6;2.4;7.0;290.3;22;11
20220311;1200;-6.6;2.4;7.0;290.3;22;11
20220312;1200;-6.1;-0.2;6.1;267.9;22;11
20220313;1200;-6.3;0.3;6.4;273.1;22;11
20220314;1200;-6.8;0.6;6.9;274.6;22;11
20220315;1200;-7.0;-0.2;7.0;268.6;22;11
20220316;1200;-7.0;0.5;7.0;273.8;22;11
20220317;1200;-7.1;1.1;7.2;278.9;22;11
20220318;1200;-6.5;2.2;6.9;289.1;22;11
20220319;1200;-4.7;2.0;5.1;293.1;22;11
20220320;1200;-4.3;0.4;4.3;275.6;22;11
20220321;1200;-5.1;-0.2;5.1;267.9;22;11
20220322;1200;-6.2;2.0;6.5;287.7;22;11
20220323;1200;-5.6;2.7;6.2;295.5;22;11
20220324;1200;-6.0;2.0;6.3;288.9;22;11
20220325;1200;-5.4;2.1;5.8;291.5;22;11
20220326;1200;-6.6;1.5;6.8;283.0;22;11
20220327;1200;-6.4;2.1;6.7;287.9;22;11
20220328;1200;-5.3;1.5;5.5;285.5;22;11
20220329;1200;-4.4;-0.8;4.5;259.9;22;11
20220330;1200;-4.3;2.2;4.8;296.7;22;11
