DATE,SSS,DYN,Prec,StDev,%Time,SLP,SST,UWND,VWND,WSPD,WDIR
2018-01-01,37.208,98.63,0.0,0.02,0.0,1013.5,26.61,-1.1,-3.2,3.4,199.1
2018-01-02,37.215,99.7,0.0,0.02,0.0,1011.2,26.65,-0.6,-3.3,3.4,190.2
2018-01-03,37.209,100.37,-0.04,0.16,0.0,1011.3,26.61,-1.9,-3.8,4.2,206.2
2018-01-04,37.201,99.7,-0.02,0.08,0.0,1013.8,26.68,-1.0,-3.5,3.7,196.2
2018-01-05,37.198,99.59,-0.02,0.07,0.0,1017.0,26.74,-2.7,-2.3,3.6,229.3
2018-01-06,37.199,99.57,-0.03,0.04,0.0,1016.6,26.77,-4.0,-0.2,4.0,266.5
2018-01-07,37.205,99.78,0.02,0.14,0.7,1015.7,26.8,-3.2,-0.3,3.2,264.1
2018-01-08,37.199,99.87,0.0,0.02,0.0,1016.7,26.8,-3.9,0.5,4.0,276.6
2018-01-09,37.208,99.74,-0.02,0.31,2.1,1017.5,26.83,-4.4,2.1,4.9,295.3
2018-01-10,37.212,99.75,0.17,1.27,3.5,1017.7,26.94,-3.5,1.6,3.8,294.5
2018-01-11,37.202,99.78,-0.03,0.24,0.7,1016.6,26.97,-3.4,2.2,4.0,302.9
2018-01-12,37.207,99.72,-0.03,0.04,0.0,1015.2,27.17,-2.9,-0.8,3.0,254.8
2018-01-13,37.218,99.57,-0.03,0.05,0.0,1015.3,27.27,-2.8,-2.1,3.5,233.7
2018-01-14,37.223,99.34,0.15,1.16,6.9,1016.4,27.15,-2.7,-1.6,3.1,239.4
2018-01-15,37.235,99.64,-0.03,0.16,0.0,1017.2,27.16,-3.5,-1.9,4.0,241.7
2018-01-16,37.256,100.04,-0.04,0.05,0.0,1017.7,27.29,-3.5,-0.8,3.6,257.6
2018-01-17,37.272,99.96,-0.06,0.13,0.0,1017.6,27.37,-4.0,-0.7,4.1,259.7
2018-01-18,37.289,100.37,-0.03,0.04,0.0,1017.4,27.49,-4.0,0.3,4.0,274.7
2018-01-19,37.284,100.48,-0.02,0.07,0.0,1016.4,27.87,-3.0,-0.2,3.1,267.0
2018-01-20,37.291,100.35,-0.03,0.03,0.0,1015.5,27.77,-3.2,-0.9,3.3,253.9
2018-01-21,37.288,100.7,0.06,0.32,1.4,1015.0,27.68,-3.0,-0.3,3.0,264.5
2018-01-22,37.278,101.49,-0.05,0.17,0.0,1014.5,27.61,-3.9,-1.4,4.1,249.5
2018-01-23,37.251,102.13,0.4,2.35,5.6,1015.1,27.52,-4.7,-0.2,4.7,268.1
2018-01-24,37.245,101.92,-0.01,0.01,0.0,1014.6,27.5,-4.7,0.0,4.7,270.3
2018-01-25,37.259,102.59,-0.01,0.03,0.0,1013.3,27.55,-4.1,-1.0,4.2,256.0
2018-01-26,37.266,102.91,0.0,0.08,0.0,1012.7,27.59,-3.3,-1.8,3.8,241.2
2018-01-27,37.27,103.02,-0.01,0.01,0.0,1012.5,27.62,-2.5,-2.8,3.7,221.9
2018-01-28,37.279,103.11,-0.01,0.01,0.0,1012.6,27.67,-1.2,-2.9,3.1,203.2
2018-01-29,37.286,103.58,-0.01,0.01,0.0,1011.8,27.57,-0.8,-3.1,3.2,193.9
2018-01-30,37.286,103.99,0.0,0.03,0.0,1011.0,27.43,-0.9,-3.7,3.8,193.9
2018-01-31,37.276,103.56,-0.01,0.02,0.0,1011.3,27.29,-0.3,-3.9,3.9,184.8
2018-02-01,37.278,103.73,-0.01,0.01,0.0,1012.1,27.25,-0.8,-3.7,3.8,192.7
2018-02-02,37.284,104.13,-0.01,0.01,0.0,1010.2,27.24,0.1,-3.9,3.9,178.8
2018-02-03,37.294,104.51,0.01,0.11,0.7,1009.8,27.27,0.7,-2.6,2.6,165.8
2018-02-04,37.298,104.23,-0.01,0.01,0.0,1012.3,27.25,-2.1,-2.8,3.5,217.5
2018-02-05,37.298,103.34,0.03,0.22,1.4,1012.7,27.26,-3.8,-1.4,4.0,250.4
2018-02-06,37.302,103.55,0.0,0.05,0.0,1012.5,27.26,-3.0,-2.5,3.9,230.2
2018-02-07,37.306,103.46,-0.01,0.01,0.0,1012.3,27.26,-1.0,-3.2,3.4,197.5
2018-02-08,37.309,103.41,-0.01,0.01,0.0,1013.9,27.31,-1.7,-2.6,3.1,212.2
2018-02-09,37.313,103.73,0.03,0.23,1.4,1015.4,27.34,-3.1,-1.4,3.4,246.3
2018-02-10,37.319,104.05,-0.01,0.03,0.0,1015.5,27.38,-3.6,0.4,3.6,275.7
2018-02-11,37.321,104.21,0.06,0.37,2.1,1014.5,27.45,-3.6,1.3,3.8,289.1
2018-02-12,37.33,104.32,0.0,0.1,0.0,1014.2,27.45,-4.1,-0.2,4.1,266.7
2018-02-13,37.346,104.46,-0.01,0.01,0.0,1015.2,27.52,-3.4,0.0,3.4,269.7
2018-02-14,37.384,104.69,-0.01,0.01,0.0,1016.4,27.52,-4.0,1.4,4.2,289.3
2018-02-15,37.404,104.59,0.05,0.38,2.1,1017.2,27.45,-3.9,0.3,3.9,274.0
2018-02-16,37.411,104.64,0.02,0.19,0.7,1017.6,27.48,-3.8,0.3,3.8,274.8
2018-02-17,37.417,104.81,0.0,0.04,0.0,1016.0,27.54,-3.5,0.8,3.5,282.1
2018-02-18,37.409,104.99,0.0,0.03,0.0,1014.1,27.73,-2.1,-0.3,2.2,262.2
2018-02-19,37.401,104.97,-0.01,0.01,0.0,1012.7,27.88,-2.2,-0.9,2.4,247.0
2018-02-20,37.394,104.97,-0.01,0.01,0.0,1012.7,27.75,-2.8,-1.2,3.0,247.3
2018-02-21,37.387,105.08,-0.01,0.01,0.0,1013.0,27.65,-3.0,-1.9,3.6,237.3
2018-02-22,37.378,105.23,-0.01,0.01,0.0,1012.6,27.64,-3.0,-2.2,3.7,233.3
2018-02-23,37.387,105.13,0.09,0.64,2.1,1013.1,27.6,-1.2,-3.3,3.5,199.7
2018-02-24,37.382,105.1,-0.01,0.01,0.0,1013.2,27.65,-2.2,-2.1,3.1,226.4
2018-02-25,37.391,105.11,-0.01,0.01,0.0,1014.3,27.62,-3.6,-1.1,3.8,253.4
2018-02-26,37.403,105.29,-0.01,0.01,0.0,1015.4,27.66,-3.3,-0.8,3.4,256.7
2018-02-27,37.423,105.36,-0.01,0.01,0.0,1015.3,27.77,-2.6,-1.3,2.9,243.6
2018-02-28,37.426,105.47,0.02,0.1,0.0,1014.4,27.78,-2.2,-2.0,3.0,227.8
2018-03-01,37.428,105.64,0.0,0.05,0.0,1016.0,27.82,-1.8,-2.3,3.0,217.7
2018-03-02,37.433,105.43,0.0,0.06,0.0,1015.9,27.94,-2.0,-1.8,2.7,228.2
2018-03-03,37.43,105.51,-0.01,0.09,0.0,1013.9,27.91,-1.8,-2.1,2.8,220.3
2018-03-04,37.434,105.71,-0.01,0.02,0.0,1012.2,27.93,-1.0,-2.7,2.9,200.3
2018-03-05,37.436,105.5,-0.01,0.01,0.0,1011.1,27.95,-0.7,-2.9,3.0,193.5
2018-03-06,37.44,105.53,-0.01,0.01,0.0,1010.2,27.9,1.1,-3.1,3.3,159.9
2018-03-07,37.446,105.32,0.03,0.17,1.4,1010.1,27.91,1.4,-3.0,3.3,154.5
2018-03-08,37.362,105.17,0.49,1.08,18.8,1011.3,27.91,0.0,-3.0,3.0,179.8
2018-03-09,37.327,105.35,0.36,1.48,8.3,1012.9,27.97,0.6,-2.9,3.0,167.8
2018-03-10,37.362,105.2,-0.02,0.01,0.0,1012.8,27.99,-0.4,-3.1,3.2,187.4
2018-03-11,37.394,105.18,0.0,0.1,0.7,1011.1,27.97,1.0,-4.0,4.2,166.1
2018-03-12,37.398,105.39,-0.02,0.01,0.0,1008.9,27.89,1.8,-4.5,4.9,158.3
2018-03-13,36.997,105.27,2.66,7.32,25.7,1010.7,27.71,1.7,-2.6,3.1,146.6
2018-03-14,37.008,104.97,-0.03,0.04,0.0,1013.6,27.78,-0.6,-1.7,1.8,199.6
2018-03-15,37.05,105.18,-0.02,0.02,0.0,1014.7,27.96,-2.9,-0.5,2.9,260.7
2018-03-16,37.206,105.22,-0.02,0.02,0.0,1014.1,28.07,-1.2,-2.6,2.9,204.5
2018-03-17,37.234,105.55,0.09,0.89,1.4,1013.2,28.21,-2.0,-1.7,2.7,230.4
2018-03-18,37.232,105.33,-0.01,0.05,0.0,1012.4,28.19,-1.8,-1.5,2.4,231.0
2018-03-19,37.262,105.64,0.14,1.0,1.4,1012.6,28.33,-1.4,-1.7,2.2,219.4
2018-03-20,37.297,105.73,0.0,0.18,0.7,1013.5,28.17,-2.3,-2.4,3.3,223.9
2018-03-21,37.325,106.04,-0.02,0.04,0.0,1014.2,28.17,-2.2,-2.6,3.5,220.5
2018-03-22,37.35,105.81,-0.02,0.07,0.0,1014.2,28.13,-2.7,-2.5,3.7,226.9
2018-03-23,37.381,106.22,-0.03,0.02,0.0,1015.2,28.1,-4.1,-0.2,4.1,266.7
2018-03-24,37.42,106.94,-0.03,0.02,0.0,1015.8,28.04,-4.6,0.8,4.7,280.5
2018-03-25,37.444,106.83,-0.03,0.02,0.0,1015.6,27.99,-4.1,1.6,4.4,291.8
2018-03-26,37.466,106.67,-0.02,0.05,0.0,1015.4,27.98,-4.4,1.2,4.5,285.7
2018-03-27,37.477,106.56,-0.03,0.02,0.0,1016.4,27.92,-4.3,1.6,4.5,290.2
2018-03-28,37.465,106.37,0.33,1.17,9.0,1015.5,27.85,-3.8,1.4,4.1,290.2
2018-03-29,37.452,105.77,0.07,0.62,2.8,1014.2,27.77,-3.6,0.3,3.6,274.1
2018-03-30,37.456,105.41,-0.03,0.06,0.0,1013.8,27.89,-2.9,1.1,3.0,291.0
2018-03-31,37.457,105.33,0.0,0.06,0.0,1014.0,27.84,-2.8,0.1,2.8,272.6
2018-04-01,37.462,105.52,-0.01,0.01,0.0,1013.6,27.9,-2.8,-0.1,2.8,267.1
2018-04-02,37.438,105.5,0.03,0.3,0.7,1012.8,27.95,-2.2,-0.8,2.3,251.1
2018-04-03,37.438,105.48,0.0,0.02,0.0,1011.2,27.87,-1.9,-2.4,3.0,218.2
