,DATE,INM_PREC_TOTAL,INM_TEMP_BSE,INM_UMID_AR,INM_VENT_DIR,INM_VENT_VEL,INM_VENT_DROS
12,2018-01-01,0.0,25.7,73.0,359.0,2.7,SSE
36,2018-01-02,0.0,26.7,73.0,354.0,1.4,N
60,2018-01-03,0.0,24.9,66.0,126.0,2.0,N
84,2018-01-04,0.0,26.8,54.0,294.0,1.7,SE
108,2018-01-05,0.0,26.6,63.0,337.0,2.9,SSE
132,2018-01-06,0.0,28.4,57.0,11.0,1.9,SSE
156,2018-01-07,0.0,24.8,61.0,158.0,4.1,SSW
180,2018-01-08,0.0,23.0,71.0,162.0,1.8,S
204,2018-01-09,0.0,21.7,90.0,194.0,1.5,S
228,2018-01-10,3.8,22.1,92.0,6.0,0.9,SSE
252,2018-01-11,0.2,22.6,92.0,209.0,0.6,S
276,2018-01-12,0.0,25.6,75.0,113.0,1.0,SSE
300,2018-01-13,0.0,24.8,81.0,143.0,1.5,NNW
324,2018-01-14,0.0,29.1,61.0,308.0,2.0,NW
348,2018-01-15,0.0,27.7,66.0,2.0,2.4,N
372,2018-01-16,0.0,26.6,80.0,172.0,0.0,N
396,2018-01-17,0.0,25.3,84.0,227.0,0.2,NW
420,2018-01-18,0.0,28.4,71.0,4.0,2.3,N
444,2018-01-19,0.0,25.9,71.0,151.0,3.6,ENE
468,2018-01-20,0.0,25.2,66.0,161.0,1.2,N
492,2018-01-21,0.0,25.8,72.0,113.0,0.7,NNE
516,2018-01-22,0.0,24.6,83.0,2.0,1.8,N
540,2018-01-23,0.0,28.2,65.0,19.0,1.2,NNE
564,2018-01-24,0.0,27.4,68.0,149.0,1.1,NNE
588,2018-01-25,0.0,25.4,75.0,150.0,1.1,N
612,2018-01-26,0.0,21.4,86.0,169.0,4.0,NNW
636,2018-01-27,0.0,23.1,76.0,270.0,1.1,SSE
660,2018-01-28,0.0,24.9,73.0,336.0,1.6,SSW
684,2018-01-29,0.0,25.8,81.0,146.0,1.1,SW
708,2018-01-30,0.0,25.7,52.0,118.0,0.5,SSE
732,2018-01-31,0.0,23.6,81.0,192.0,2.1,SE
756,2018-02-01,0.0,25.7,72.0,163.0,1.0,SSE
780,2018-02-02,0.0,25.7,62.0,174.0,0.9,N
804,2018-02-03,0.0,24.7,63.0,107.0,1.1,N
828,2018-02-04,0.0,24.1,65.0,171.0,1.6,NNW
852,2018-02-05,0.0,24.6,65.0,167.0,1.2,N
876,2018-02-06,0.0,24.7,65.0,136.0,1.2,SSE
900,2018-02-07,0.0,25.7,64.0,145.0,1.3,SSE
924,2018-02-08,0.0,26.9,68.0,327.0,2.1,SE
948,2018-02-09,0.0,28.1,67.0,352.0,2.0,SSE
972,2018-02-10,0.0,27.5,71.0,353.0,2.1,SW
996,2018-02-11,0.0,25.4,84.0,349.0,1.6,SSE
1020,2018-02-12,0.0,24.3,80.0,174.0,1.7,SE
1044,2018-02-13,0.0,24.1,59.0,164.0,3.1,NW
1068,2018-02-14,0.0,23.3,63.0,151.0,1.2,SSE
1092,2018-02-15,0.0,23.5,64.0,214.0,0.8,SE
1116,2018-02-16,0.0,23.2,71.0,239.0,2.1,SE
1140,2018-02-17,0.0,24.1,69.0,94.0,0.4,NNE
1164,2018-02-18,0.0,25.9,63.0,299.0,1.5,S
1188,2018-02-19,0.0,24.9,75.0,259.0,1.2,SE
1212,2018-02-20,0.0,25.8,79.0,356.0,3.3,NNE
1236,2018-02-21,0.0,25.7,77.0,161.0,1.0,NNE
1260,2018-02-22,0.0,25.0,73.0,122.0,0.8,NNE
1284,2018-02-23,0.0,22.7,73.0,277.0,1.2,SSE
1308,2018-02-24,0.0,23.2,74.0,162.0,1.9,SSW
1332,2018-02-25,0.0,24.9,69.0,146.0,1.4,WNW
1356,2018-02-26,0.0,26.5,62.0,32.0,1.8,NE
1380,2018-02-27,0.0,26.0,65.0,185.0,0.8,NNW
1404,2018-02-28,0.0,26.0,70.0,326.0,1.0,NNW
1428,2018-03-01,0.0,27.2,66.0,31.0,0.9,ESE
1452,2018-03-02,0.0,25.6,78.0,349.0,1.8,SSW
1476,2018-03-03,0.0,26.4,67.0,258.0,0.9,SE
1500,2018-03-04,0.0,23.9,91.0,337.0,0.2,NNW
1524,2018-03-05,0.0,26.2,68.0,354.0,1.2,N
1548,2018-03-06,0.0,26.2,70.0,143.0,1.6,N
1572,2018-03-07,0.0,24.0,76.0,163.0,2.9,N
1596,2018-03-08,0.0,21.8,67.0,273.0,0.9,SSE
1620,2018-03-09,0.0,24.2,64.0,242.0,0.8,WSW
1644,2018-03-10,0.0,25.5,73.0,299.0,1.3,NNW
1668,2018-03-11,0.0,27.2,70.0,5.0,1.5,SE
1692,2018-03-12,0.0,24.8,77.0,153.0,3.2,S
1716,2018-03-13,0.0,23.3,66.0,335.0,1.8,WSW
1740,2018-03-14,0.0,25.3,84.0,296.0,1.0,SSE
1764,2018-03-15,0.0,26.3,69.0,347.0,2.8,WSW
1788,2018-03-16,0.0,23.7,65.0,158.0,3.1,SSE
1812,2018-03-17,0.0,25.4,65.0,337.0,0.7,N
1836,2018-03-18,0.0,26.0,75.0,351.0,3.0,NNE
1860,2018-03-19,0.0,28.4,73.0,7.0,1.5,W
1884,2018-03-20,0.0,22.2,78.0,294.0,1.2,SW
1908,2018-03-21,0.0,23.0,74.0,208.0,0.5,SSE
1932,2018-03-22,0.0,23.7,64.0,184.0,1.0,NNW
1956,2018-03-23,0.0,25.7,70.0,306.0,3.1,NNW
1980,2018-03-24,0.0,26.0,85.0,356.0,3.0,N
2004,2018-03-25,12.0,22.3,92.0,251.0,0.8,SE
2028,2018-03-26,0.0,21.2,79.0,163.0,3.2,ESE
2052,2018-03-27,0.0,21.8,87.0,37.0,0.3,SSE
2076,2018-03-28,0.0,25.8,78.0,8.0,1.4,SE
2100,2018-03-29,0.0,24.7,86.0,273.0,1.1,NNW
2124,2018-03-30,0.0,23.9,81.0,319.0,0.1,N
2148,2018-03-31,3.6,23.1,93.0,287.0,1.0,SW
2172,2018-04-01,0.0,24.2,85.0,3.0,1.2,SW
2196,2018-04-02,0.0,25.0,83.0,119.0,0.8,SSE
2220,2018-04-03,0.0,25.2,68.0,135.0,1.3,NW
2244,2018-04-04,0.0,24.0,69.0,206.0,1.0,W
2268,2018-04-05,0.0,22.5,70.0,223.0,0.6,ESE
2292,2018-04-06,0.0,22.0,78.0,260.0,1.4,S
2316,2018-04-07,0.0,24.6,72.0,268.0,0.9,NE
2340,2018-04-08,0.0,25.8,65.0,312.0,0.9,NNE
2364,2018-04-09,0.0,24.8,73.0,306.0,0.7,SSE
2388,2018-04-10,0.0,25.7,71.0,346.0,2.2,S
2412,2018-04-11,0.0,26.1,68.0,325.0,1.7,N
2436,2018-04-12,0.0,25.0,68.0,274.0,2.0,E
2460,2018-04-13,0.0,25.6,72.0,163.0,1.0,SE
2484,2018-04-14,0.0,21.6,78.0,158.0,4.2,SSW
2508,2018-04-15,0.0,20.5,82.0,248.0,1.6,SW
2532,2018-04-16,0.0,20.8,83.0,202.0,1.8,ESE
2556,2018-04-17,0.8,19.9,87.0,31.0,1.0,SE
2580,2018-04-18,0.0,21.8,80.0,42.0,0.9,W
2604,2018-04-19,0.0,23.6,65.0,318.0,0.8,NW
2628,2018-04-20,0.0,23.4,68.0,341.0,0.9,S
2652,2018-04-21,0.0,23.5,61.0,290.0,0.6,WNW
2676,2018-04-22,0.0,24.1,70.0,334.0,2.0,WNW
2700,2018-04-23,0.0,24.4,70.0,279.0,1.2,NW
2724,2018-04-24,0.0,25.1,63.0,24.0,0.4,WNW
2748,2018-04-25,0.0,25.2,71.0,230.0,0.4,NNW
2772,2018-04-26,0.0,24.2,74.0,270.0,0.0,NW
2796,2018-04-27,0.0,24.7,79.0,305.0,1.1,N
